id,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9
1,1,4,5,5,4,2,4,4,7
2,1,1,3,3,3,2,1,4,4
3,4,4,5,7,4,3,5,5,8
4,3,3,6,6,4,4,5,5,7
5,3,2,6,5,4,2,4,3,7
6,3,4,4,5,4,4,4,3,7
7,3,4,5,5,5,2,4,5,6
8,4,4,6,5,4,3,5,6,7
9,2,4,4,3,4,2,3,3,7
10,3,4,5,5,4,4,4,4,7
11,1,3,3,3,2,1,2,4,4
12,3,5,4,7,4,4,4,4,7
13,3,5,8,5,5,3,5,6,6
14,3,3,3,4,4,2,3,5,6
15,2,2,4,4,3,2,2,3,4
16,2,2,5,3,3,3,2,4,6
17,3,4,4,4,4,4,5,6,8
18,3,4,5,4,4,3,2,4,5
19,2,3,5,5,4,2,3,4,5
20,4,3,5,7,5,3,4,5,6
21,3,4,4,3,3,2,3,3,5
22,1,1,4,4,2,2,2,3,5
23,3,6,6,6,2,3,5,5,7
24,2,2,5,3,3,2,2,4,6
25,1,3,3,3,1,3,4,3,4
26,1,1,3,3,3,2,3,2,5
27,1,3,5,4,3,3,4,4,7
28,3,4,3,5,3,3,3,4,6
29,2,3,3,5,2,1,2,5,5
30,2,3,4,3,3,2,5,4,5
31,3,4,6,6,5,3,4,4,6
32,2,4,5,4,4,3,4,4,6
33,3,5,5,7,5,3,4,5,6
34,1,4,5,4,3,2,2,3,5
35,4,4,5,4,4,4,4,6,7
36,3,5,4,4,5,1,3,4,6
37,2,2,4,4,4,3,3,4,5
38,3,2,5,7,3,4,4,4,6
39,1,5,5,5,4,3,4,4,6
40,1,4,5,4,3,2,3,4,6
41,3,4,5,5,4,2,4,6,6
42,6,3,6,5,5,3,4,5,7
43,2,3,5,5,3,3,4,4,5
44,1,0,4,3,1,0,0,3,5
45,2,4,4,4,3,2,2,4,4
46,3,4,5,5,5,3,4,3,7
47,2,3,5,5,3,2,3,3,5
48,2,3,3,3,2,3,4,4,5
49,4,5,6,4,4,4,5,5,7
50,4,4,4,4,3,3,4,5,6
51,4,5,5,6,6,3,4,5,7
52,4,2,4,3,3,1,4,3,5
53,2,2,3,4,4,1,3,4,6
54,2,2,2,3,2,2,2,3,4
55,2,3,4,4,4,3,3,3,6
56,2,4,5,5,3,3,4,4,7
57,3,4,5,5,3,1,3,3,6
58,2,4,4,6,5,4,3,4,7
59,4,5,7,6,6,4,6,5,7
60,1,3,3,3,4,2,3,4,6
61,1,4,4,4,2,3,3,4,7
62,2,3,4,3,2,2,3,4,5
63,4,3,4,4,5,3,3,4,6
64,2,2,5,4,5,3,3,5,6
65,3,2,2,5,2,2,4,3,5
66,1,3,4,4,3,2,2,4,4
67,4,6,6,8,4,4,5,6,8
68,5,4,5,6,5,4,6,4,9
69,4,5,5,5,3,4,3,4,6
70,0,4,4,4,3,1,2,4,7
71,2,2,3,4,3,2,2,4,5
72,4,4,5,5,4,3,3,5,6
73,3,4,5,5,3,3,5,5,6
74,3,3,4,6,3,3,4,4,7
75,2,3,5,4,2,2,3,4,5
76,2,2,5,6,3,3,2,5,7
77,2,2,5,3,4,2,4,4,6
78,1,3,3,4,2,1,2,2,4
79,4,4,4,6,4,4,5,6,7
80,2,4,5,4,4,3,3,4,6
81,3,4,4,6,5,4,4,3,5
82,1,3,4,4,3,1,3,2,4
83,1,4,4,5,3,2,2,4,5
84,2,3,5,5,4,4,4,4,6
85,2,4,4,5,4,3,4,3,5
86,2,2,4,4,3,2,4,3,7
87,2,2,6,4,4,2,3,5,5
88,2,3,4,4,2,2,4,3,6
89,2,3,4,4,3,2,3,4,6
90,3,2,5,5,5,3,5,6,7
91,2,4,4,5,3,3,4,5,6
92,3,3,5,5,3,2,4,4,5
93,3,3,3,4,4,2,4,5,6
94,1,3,3,5,2,2,3,5,4
95,4,1,5,5,4,3,3,4,6
96,2,4,5,5,4,2,4,3,5
97,2,4,5,4,4,3,4,4,6
98,3,3,4,4,4,1,4,5,5
99,1,4,4,3,3,1,3,2,6
100,2,3,3,3,3,3,3,4,6
